input,label
"public void 8XGFRM2 ( ) throws Throwable { String data ; data = """" ; { Socket socket = null ; BufferedReader readerBuffered = null ; InputStreamReader readerInputStream = null ; try { socket = new Socket ( ""host.example.org"" , 39544 ) ; readerInputStream = new InputStreamReader ( socket . getInputStream ( ) , ""UTF-8"" ) ; readerBuffered = new BufferedReader ( readerInputStream ) ; data = readerBuffered . readLine ( ) ; } catch ( IOException exceptIO ) { IO . logger . log ( Level . WARNING , ""Error with stream reading"" , exceptIO ) ; } finally { try { if ( readerBuffered != null ) { readerBuffered . close ( ) ; } } catch ( IOException exceptIO ) { IO . logger . log ( Level . WARNING , ""Error closing BufferedReader"" , exceptIO ) ; } try { if ( readerInputStream != null ) { readerInputStream . close ( ) ; } } catch ( IOException exceptIO ) { IO . logger . log ( Level . WARNING , ""Error closing InputStreamReader"" , exceptIO ) ; } try { if ( socket != null ) { socket . close ( ) ; } } catch ( IOException exceptIO ) { IO . logger . log ( Level . WARNING , ""Error closing Socket"" , exceptIO ) ; } } } String osCommand ; if ( System . getProperty ( ""os.name"" ) . toLowerCase ( ) . indexOf ( ""win"" ) >= 0 ) { osCommand = ""c:\\WINDOWS\\SYSTEM32\\cmd.exe /c dir "" ; } else { osCommand = ""/bin/ls "" ; } Process process = Runtime . getRuntime ( ) . exec ( osCommand + data ) ; process . waitFor ( ) ; }",1
public void FGZD9VP ( ) throws Throwable { goodG2B ( ) ; },0
"private void 0GSI5W7G2B ( ) throws Throwable { String data ; data = ""foo"" ; String osCommand ; if ( System . getProperty ( ""os.name"" ) . toLowerCase ( ) . indexOf ( ""win"" ) >= 0 ) { osCommand = ""c:\\WINDOWS\\SYSTEM32\\cmd.exe /c dir "" ; } else { osCommand = ""/bin/ls "" ; } Process process = Runtime . getRuntime ( ) . exec ( osCommand + data ) ; process . waitFor ( ) ; }",0
"public void 05X3DQ8 ( ) throws Throwable { String data ; if ( true ) { data = """" ; { Socket socket = null ; BufferedReader readerBuffered = null ; InputStreamReader readerInputStream = null ; try { socket = new Socket ( ""host.example.org"" , 39544 ) ; readerInputStream = new InputStreamReader ( socket . getInputStream ( ) , ""UTF-8"" ) ; readerBuffered = new BufferedReader ( readerInputStream ) ; data = readerBuffered . readLine ( ) ; } catch ( IOException exceptIO ) { IO . logger . log ( Level . WARNING , ""Error with stream reading"" , exceptIO ) ; } finally { try { if ( readerBuffered != null ) { readerBuffered . close ( ) ; } } catch ( IOException exceptIO ) { IO . logger . log ( Level . WARNING , ""Error closing BufferedReader"" , exceptIO ) ; } try { if ( readerInputStream != null ) { readerInputStream . close ( ) ; } } catch ( IOException exceptIO ) { IO . logger . log ( Level . WARNING , ""Error closing InputStreamReader"" , exceptIO ) ; } try { if ( socket != null ) { socket . close ( ) ; } } catch ( IOException exceptIO ) { IO . logger . log ( Level . WARNING , ""Error closing Socket"" , exceptIO ) ; } } } } else { data = null ; } String osCommand ; if ( System . getProperty ( ""os.name"" ) . toLowerCase ( ) . indexOf ( ""win"" ) >= 0 ) { osCommand = ""c:\\WINDOWS\\SYSTEM32\\cmd.exe /c dir "" ; } else { osCommand = ""/bin/ls "" ; } Process process = Runtime . getRuntime ( ) . exec ( osCommand + data ) ; process . waitFor ( ) ; }",1
"private void P9DZWVLG2B1 ( ) throws Throwable { String data ; if ( false ) { data = null ; } else { data = ""foo"" ; } String osCommand ; if ( System . getProperty ( ""os.name"" ) . toLowerCase ( ) . indexOf ( ""win"" ) >= 0 ) { osCommand = ""c:\\WINDOWS\\SYSTEM32\\cmd.exe /c dir "" ; } else { osCommand = ""/bin/ls "" ; } Process process = Runtime . getRuntime ( ) . exec ( osCommand + data ) ; process . waitFor ( ) ; }",0
"private void EMDJIB9G2B2 ( ) throws Throwable { String data ; if ( true ) { data = ""foo"" ; } else { data = null ; } String osCommand ; if ( System . getProperty ( ""os.name"" ) . toLowerCase ( ) . indexOf ( ""win"" ) >= 0 ) { osCommand = ""c:\\WINDOWS\\SYSTEM32\\cmd.exe /c dir "" ; } else { osCommand = ""/bin/ls "" ; } Process process = Runtime . getRuntime ( ) . exec ( osCommand + data ) ; process . waitFor ( ) ; }",0
public void 6I43T7V ( ) throws Throwable { goodG2B1 ( ) ; goodG2B2 ( ) ; },0
"public void HOU0CFN ( ) throws Throwable { String data ; if ( 5 == 5 ) { data = """" ; { Socket socket = null ; BufferedReader readerBuffered = null ; InputStreamReader readerInputStream = null ; try { socket = new Socket ( ""host.example.org"" , 39544 ) ; readerInputStream = new InputStreamReader ( socket . getInputStream ( ) , ""UTF-8"" ) ; readerBuffered = new BufferedReader ( readerInputStream ) ; data = readerBuffered . readLine ( ) ; } catch ( IOException exceptIO ) { IO . logger . log ( Level . WARNING , ""Error with stream reading"" , exceptIO ) ; } finally { try { if ( readerBuffered != null ) { readerBuffered . close ( ) ; } } catch ( IOException exceptIO ) { IO . logger . log ( Level . WARNING , ""Error closing BufferedReader"" , exceptIO ) ; } try { if ( readerInputStream != null ) { readerInputStream . close ( ) ; } } catch ( IOException exceptIO ) { IO . logger . log ( Level . WARNING , ""Error closing InputStreamReader"" , exceptIO ) ; } try { if ( socket != null ) { socket . close ( ) ; } } catch ( IOException exceptIO ) { IO . logger . log ( Level . WARNING , ""Error closing Socket"" , exceptIO ) ; } } } } else { data = null ; } String osCommand ; if ( System . getProperty ( ""os.name"" ) . toLowerCase ( ) . indexOf ( ""win"" ) >= 0 ) { osCommand = ""c:\\WINDOWS\\SYSTEM32\\cmd.exe /c dir "" ; } else { osCommand = ""/bin/ls "" ; } Process process = Runtime . getRuntime ( ) . exec ( osCommand + data ) ; process . waitFor ( ) ; }",1
"private void XOC7SGNG2B1 ( ) throws Throwable { String data ; if ( 5 != 5 ) { data = null ; } else { data = ""foo"" ; } String osCommand ; if ( System . getProperty ( ""os.name"" ) . toLowerCase ( ) . indexOf ( ""win"" ) >= 0 ) { osCommand = ""c:\\WINDOWS\\SYSTEM32\\cmd.exe /c dir "" ; } else { osCommand = ""/bin/ls "" ; } Process process = Runtime . getRuntime ( ) . exec ( osCommand + data ) ; process . waitFor ( ) ; }",0
"private void Z3382WJG2B2 ( ) throws Throwable { String data ; if ( 5 == 5 ) { data = ""foo"" ; } else { data = null ; } String osCommand ; if ( System . getProperty ( ""os.name"" ) . toLowerCase ( ) . indexOf ( ""win"" ) >= 0 ) { osCommand = ""c:\\WINDOWS\\SYSTEM32\\cmd.exe /c dir "" ; } else { osCommand = ""/bin/ls "" ; } Process process = Runtime . getRuntime ( ) . exec ( osCommand + data ) ; process . waitFor ( ) ; }",0
